"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","w","SE(w)","t(w)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)","psi.w","SE(psi.w)","t(psi.w)"
"1","Agric","0.253389282298605","3.11258383253484","0.539164705852695","3.24422169883016","0.662391531941422","0.00346631741057446","0.00298032671157597","1.16306624945206","0.586873705927136","0.1132249957743","5.18325217778764","0.232697818024431","0.212613051432593","1.09446629196329","0.105423895104875","0.146848431184014","0.71790957693494","0.0148161228400008","0.107714808589715","0.137549544338285","0.174059661965513","0.141586935150097","1.22934832780293","-0.0176799483061695","0.244548205402998","-0.072296373130337","0.123142063512791","0.182726443134231","0.673914849983319","0.0482869794542118","0.136127137283156","0.354719715832787"
"2","Food","0.36113753980138","3.27955540510796","0.512178033594753","3.36628947496298","0.643709081700757","0.00212747336462783","0.00181414790195812","1.17271219305301","0.596732824711447","0.0689209299555437","8.65822363535081","-0.391203128983984","0.129419207527551","-3.0227594223269","0.278810674132611","0.0893877749387576","3.11911415541592","0.0446354551680761","0.0655668364323454","0.680762678158688","-0.0280595757046263","0.0861850616409113","-0.325573541056756","0.195572289246475","0.148858382551246","1.31381441807046","-0.0689964214083832","0.11122699808604","-0.620320808757337","-0.102614841350774","0.0828616404847827","-1.23838776001085"
"3","Soda","0.286874019374056","14.4030971518276","0.00611368493389539","3.91210453359041","0.562138998133165","0.00514645706240786","0.00317765890286422","1.61957504556862","0.698205550554123","0.120721803569889","5.78359111533579","0.42493042766926","0.22669050112048","1.87449595624398","0.422391117473639","0.156571500336207","2.69775225099481","-0.406713299688653","0.114846778091797","-3.54135576501385","0.0145732511297538","0.150961632247041","0.0965361258541865","-0.693693769796927","0.260740132637132","-2.66047946965775","-0.251840605645403","0.194825052756435","-1.29265000615833","0.452868951341171","0.145140332443789","3.12021437264216"
"4","Beer","0.319801616935416","8.75103700024915","0.067632714842491","11.7805306079208","0.0379219634520029","0.00244410488985286","0.00217087744389782","1.12586037351996","0.756326522679828","0.0824733706063648","9.1705542906653","-0.292117423247059","0.154867879363882","-1.88623634834369","0.239555902968751","0.106964765202062","2.23957770127591","0.00849548637901096","0.0784597364553808","0.10827829359129","-0.249583862803267","0.103132278308319","-2.42003635425492","-0.0670299895197347","0.17812952552921","-0.376299152656435","-0.223088246338411","0.133098398998686","-1.67611517506393","-0.038181059927832","0.0991553478625567","-0.385063042497277"
"5","Smoke","0.162546457640354","10.3237662832458","0.0353131202373299","2.30415026945843","0.805657115402922","0.00554040158679245","0.00342573843616977","1.61728680984385","0.429965845507143","0.130146543482165","3.30370545389141","0.0202132620605862","0.244388207338123","0.082709645775257","0.444229778587668","0.168795022721617","2.63177060214808","-0.0522242022014643","0.123812855314554","-0.421799514022884","0.248308074529747","0.162747192755481","1.52572877188006","-0.343658236844179","0.281096090402247","-1.22256498250262","-0.184405548930347","0.21003502640102","-0.877975221991124","-0.0976789648914896","0.156471424621119","-0.624260724461417"
"6","Toys","0.467660208760767","10.6196309081463","0.0311884007373722","1.31319442096493","0.93356814402269","-0.000871244101003693","0.00279653117807213","-0.31154456915596","1.03374262660089","0.106242456436087","9.73003318332318","0.327915740615086","0.199501291213101","1.64367728459871","0.0992741386276545","0.137792348289197","0.720461911421226","-0.311041592885652","0.101072080249189","-3.07742347954837","-0.217521351468122","0.132855326571075","-1.63727986737327","0.145916861209568","0.229467017255112","0.635894704847034","-0.076502307775971","0.171457777866538","-0.446187444675273","0.151437945626716","0.127732232213142","1.18558912658801"
"7","Fun","0.648674546535257","21.0862569161903","0.000304439512195697","5.28861493765535","0.381681785893206","0.00315988859866264","0.00248312575946384","1.27254472981059","1.25330700999448","0.0943359338861471","13.2855737825957","0.325822861713691","0.177143312093898","1.83931788257963","-0.184887713029505","0.122350050010812","-1.51113720847001","-0.528978494374499","0.0897449983741555","-5.89423927748192","-0.0855184388045079","0.117966317085026","-0.724939465075182","0.0579133426989643","0.203750798832969","0.284236150388988","0.233880546006412","0.152242616931714","1.53623571848687","0.476590589663131","0.113417364558375","4.20209543325998"
"8","Books","0.673490875466116","5.04353097828808","0.282860038902527","12.3220095982344","0.0306322134695047","-0.00227915260415769","0.00184105087479072","-1.237962858803","1.07111221330549","0.0699429954134867","15.314074082377","0.11064759811007","0.131338434411076","0.84246168005745","0.378349605136392","0.0907133542248499","4.17082587640385","-0.150322500700438","0.0665391622373995","-2.25915830085318","-0.0979139013158854","0.0874631461727173","-1.11948752818165","0.161545064824902","0.151065883393574","1.06936828618032","-0.0234557397149058","0.112876442932588","-0.207800131768097","0.187362973565093","0.0840904402206919","2.22811264958736"
"9","Hshld","0.440564386681746","1.45446279789012","0.834676028040409","39.1131307126131","2.25351606708557e-07","0.00350913871580604","0.00174083520295793","2.01577881113819","0.583669901408797","0.066135721876759","8.82533500573926","0.0735188511199201","0.124189164598818","0.591990866171103","0.0745774326874254","0.0857754680087058","0.8694494407172","-0.123029942796925","0.0629171727866354","-1.95542706939715","0.0757233543662831","0.0827021816201736","0.915614955770548","-0.327173490602367","0.1428427706037","-2.29044486619536","0.0418745423671351","0.106732132247056","0.392333044281425","0.149149388216215","0.0795130653763441","1.87578465891453"
"10","Clths","0.584640939533402","24.7993440242238","5.52058417121122e-05","1.40268365352576","0.92401948496228","0.00149572520873888","0.00227943070926039","0.656183670186752","1.23294063566094","0.0865973959906371","14.2376179047491","-0.546773997468003","0.162611943429766","-3.36244673014539","0.3373550118922","0.112313466287912","3.00369157005091","-0.147362979067712","0.0823830627655139","-1.78875334469113","-0.359493076838403","0.108289338466698","-3.31974580257461","0.92900134942997","0.187036772554157","4.96694493143574","-0.38830730755946","0.139753894851964","-2.77850794763737","-0.0969818143015769","0.104113544290871","-0.931500459062562"
