"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","r","SE(r)","t(r)","c","SE(c)","t(c)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)","psi.r","SE(psi.r)","t(psi.r)","psi.c","SE(psi.c)","t(psi.c)"
"1","Agric","0.261667661892993","8.47973136832892","0.131703693065282","4.16376889401766","0.654524837208353","0.00172586214928591","0.00325176278013593","0.53074663374238","0.747731835812756","0.12955164210922","5.77168937142744","0.0852651167523173","0.194185125251715","0.439091905941772","-0.149477875333253","0.212202559149574","-0.704411275397914","-0.144734654349916","0.25760431663324","-0.561848715275913","0.857846761546005","0.401067159812433","2.13891050553028","0.0243050900367234","0.161373873138864","0.150613538387398","0.150597798341343","0.229340771496586","0.656655148400359","0.460534295567893","0.261646931672232","1.76013642745411","0.208135178866663","0.302863034733068","0.687225428649967","-1.03927753524424","0.45518272592329","-2.28320952456221"
"2","Food","0.468110062940581","13.916895251055","0.0161460155707387","3.37058741279326","0.761100210419012","-0.00161915282659832","0.0018161680795226","-0.891521464810643","0.755383844562751","0.0723569254454241","10.4396896345811","-0.198118936179877","0.108455889880602","-1.82672362375141","-0.200780635625479","0.118518951220775","-1.6940804281289","0.396860525647385","0.143876650496924","2.75833864825669","0.850552102287593","0.224003232291649","3.79705280850673","-0.0228435220872016","0.090130214619002","-0.253450212936535","0.150211938750022","0.128090951489325","1.17269750129494","0.261745233820464","0.146134523806892","1.79112523859417","0.248367355799757","0.169154459700947","1.46828736433466","-0.607362723831293","0.254227750628662","-2.3890496703424"
"3","Soda","0.31059409235008","30.0975935598279","1.41103588293966e-05","4.73567265851519","0.578134130408972","-0.00493030232209015","0.00342797616349626","-1.43825455223167","1.09357595090341","0.136572059870136","8.00731827537251","0.515331871055747","0.204708038585948","2.5173992903038","-0.163591296085432","0.223701839212034","-0.731291690142849","0.993256165844742","0.271563922936463","3.65754093954937","0.939995526236382","0.422801033395399","2.22325740002936","-0.253072240545717","0.1701187411057","-1.48762116919544","-0.774058607732252","0.241768773174553","-3.20164840797448","0.188465545175311","0.275825607729865","0.683277911454432","-0.751182676481389","0.319275215957081","-2.35277478156139","-0.642471832750182","0.47984912799668","-1.33890382469264"
"4","Beer","0.411463418160084","7.82879415101875","0.165926951171405","13.7060610711282","0.0330976353657072","-0.00220980786511533","0.00221554402971321","-0.997410945338506","0.882415917263086","0.0882682368369521","9.99698134781","0.0701035053005265","0.132305375268661","0.529861354145087","-0.292398212833013","0.144581307063872","-2.02237909430325","0.74154112248236","0.175515172641612","4.22494027907506","0.607768875627245","0.273261615781002","2.22412823656259","-0.203429939970351","0.109949878068769","-1.85020614432254","-0.340923720361328","0.156258193298418","-2.18179740316235","0.0335833957486124","0.178269553025317","0.188385482426397","-0.166616880521146","0.206351580294434","-0.807441747155062","-0.118201594925135","0.310132515510793","-0.381132545004045"
"5","Smoke","0.237314554950984","13.6642060480686","0.0178891689541579","1.57163193457767","0.954595103975566","-0.000291209860468354","0.00358692844424222","-0.0811864147822095","0.759140008301521","0.14290478780264","5.31220835896651","-0.045286848375736","0.214200172739844","-0.211423024531072","-0.17040920323257","0.23407469942281","-0.728012056205866","0.347224230919188","0.284156106446585","1.22194886205783","1.37399676263112","0.4424059505111","3.10573752691114","0.180798309885891","0.178006999543531","1.01568090215283","-0.11581974386004","0.252979381439125","-0.45782285971756","0.136778446827382","0.288615401866614","0.473912500659252","0.464521222348239","0.334079730732433","1.39045018184679","-0.767159928677196","0.502099315766725","-1.52790474829808"
"6","Toys","0.457073756060696","10.4203902135206","0.0641631635472673","3.86341494665241","0.695153886230649","-0.00766415229547338","0.00309864457077689","-2.47338864474922","1.29127438990432","0.123451346115778","10.4597837976859","0.375227537703021","0.185041383634296","2.02780335043645","-0.232020972470299","0.202210417017659","-1.14742344085091","0.567868223277463","0.245474307664876","2.31335095179379","0.710103873061382","0.382181807621819","1.85802636049085","-0.369450653575444","0.153775139724699","-2.40253824016589","0.178101821889813","0.218541629419219","0.814956044590331","0.252080762963504","0.249326565037042","1.01104654823305","-0.30546298388876","0.288601894331727","-1.05842335025581","-0.569706810546574","0.433749193209803","-1.31344753941942"
"7","Fun","0.614365198395153","13.0777585302043","0.0226608815128849","10.6016539418809","0.101496016561063","-0.00289766539610347","0.00285435616222715","-1.01517303076941","1.46081758350257","0.11371878977151","12.8458769780942","0.234647048366137","0.170453242241709","1.37660654194772","-0.120334373229458","0.186268717401224","-0.646025671451084","0.379056249988454","0.226121804791574","1.67633656708978","0.0967599527028503","0.352051670580258","0.274845884251504","-0.326507935171986","0.141651940919603","-2.30500149205369","0.129334835530284","0.201312423024856","0.642458292374311","0.458875548984711","0.229670361044985","1.99797460541647","-0.590751744474732","0.265849334023379","-2.22212986406346","-0.465048892983769","0.399553628762606","-1.16392108469643"
"8","Books","0.671752846573539","2.38625966279106","0.793518555149934","18.1135965375505","0.00595449463028541","-0.00539370279669859","0.00202532516142972","-2.66312930852597","1.16049780835785","0.080689834471066","14.3822058375146","0.26378656729951","0.120946098082604","2.18102585764569","0.254770621700437","0.132168061271507","1.92762623019092","0.357280279732036","0.160446053247587","2.22679381948218","0.105253382937519","0.249800328349081","0.421350058397175","-0.149501544490437","0.100509965752129","-1.48743006100637","0.0698695739966247","0.142842410858249","0.489137459783988","0.0437996657218842","0.162963952156591","0.268769044578628","-0.138664284736462","0.188634954695621","-0.735093264979488","0.0118381700448082","0.283505621471585","0.041756385581916"
"9","Hshld","0.546779781374974","4.91908906708713","0.425834348849533","43.5215501047285","9.19596020443336e-08","-0.0015796008878302","0.00171914848455856","-0.918827490480443","0.710016592736151","0.068491622625322","10.3664735265543","0.42511461387445","0.102662182444423","4.14090762296612","-0.270624014598492","0.112187675623186","-2.4122437076552","0.795939294145658","0.136190768053894","5.84429697782955","0.228833670566046","0.212036992430588","1.07921579127735","0.102646104757409","0.0853154637074807","1.20313598844576","-0.643843356970318","0.121248340184693","-5.31012099620971","0.165677568975171","0.138328025900743","1.19771512602986","-0.349265230183585","0.160118238135562","-2.18129573651619","0.184163774743345","0.240646918726201","0.765286236442028"
"10","Clths","0.614624886525396","18.7315907100852","0.00215638089181356","4.04736934645285","0.670265970172637","-0.00230958886643043","0.00240897630847374","-0.958742872773923","1.22351754529847","0.0959746628725276","12.7483390790706","0.0232340213597061","0.143856547300117","0.161508264974792","0.147125589365161","0.157204252632306","0.935888100363803","0.905999085990854","0.190838858086721","4.74745602166174","-0.450214727165758","0.297119240061728","-1.51526615062768","-0.233051290659636","0.119549260964823","-1.94941640608058","0.562431101445404","0.169900611593589","3.31035360126171","-0.0805367671381505","0.193833714880304","-0.415494111475309","-0.201503622088528","0.224367496867013","-0.898096314761504","0.261952495226406","0.337209223709074","0.776824822124095"
